Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,34059.988281,34101.128906,33766.148438,33812.75,33812.75,7500
2018-01-02,33913.550781,33964.140625,33703.371094,33812.261719,33812.261719,10600
2018-01-03,33929.609375,33998.371094,33765.429688,33793.378906,33793.378906,9000
2018-01-04,33912.488281,33995.398438,33802.128906,33969.640625,33969.640625,10500
2018-01-05,34021.269531,34188.851563,34020.839844,34153.851563,34153.851563,14700
2018-01-08,34216.328125,34385.671875,34216.328125,34352.789063,34352.789063,13500
2018-01-09,34431.609375,34488.03125,34343.410156,34443.191406,34443.191406,11200
2018-01-10,34538.78125,34565.628906,34311.628906,34433.070313,34433.070313,8500
2018-01-11,34471.480469,34558.878906,34400.609375,34503.488281,34503.488281,8100
2018-01-12,34578.988281,34638.421875,34342.160156,34592.390625,34592.390625,7800
2018-01-15,34687.210938,34963.691406,34687.210938,34843.511719,34843.511719,14600
2018-01-16,34877.710938,34936.03125,34735.550781,34771.050781,34771.050781,53600
2018-01-17,34753.800781,35118.609375,34700.820313,35081.820313,35081.820313,35000
2018-01-18,35366.449219,35507.359375,35166.441406,35260.289063,35260.289063,15700
2018-01-19,35339.109375,35542.171875,35221.160156,35511.578125,35511.578125,35200
2018-01-22,35613.96875,35827.699219,35544.679688,35798.011719,35798.011719,13700
2018-01-23,35868.191406,36170.828125,35863.980469,36139.980469,36139.980469,27000
2018-01-24,36161.621094,36268.191406,36036.511719,36161.640625,36161.640625,25200
2018-01-25,36208.390625,36247.019531,35823.351563,36050.441406,36050.441406,15100
2018-01-29,36106.359375,36443.980469,36093.359375,36283.25,36283.25,16900
2018-01-30,36277.121094,36291.820313,35993.410156,36033.730469,36033.730469,18100
2018-01-31,35951.640625,36050.691406,35818.410156,35965.019531,35965.019531,11000
